epoch,train_loss,val_loss,train_acc,val_acc
1,1.6970093461990357,1.8458266801834107,0.3603,0.3405
2,1.292924795627594,1.341628436088562,0.5141,0.5095
3,1.0762288506507873,1.3663273458480836,0.6123,0.5165
4,0.9368072053909302,1.559244107246399,0.663,0.5135
5,0.8467623510360718,1.0492769193649292,0.6991,0.639
6,0.7557308416366577,1.085492389678955,0.7327,0.6245
7,0.6755327920913696,0.998744402885437,0.7608,0.6455
8,0.6082796477794647,1.455611496925354,0.7866,0.61
9,0.5237811838150025,1.1425299339294435,0.8135,0.6435
10,0.5437568518638611,1.1555786743164063,0.806,0.648
11,0.4542927433013916,0.8366989159584045,0.8412,0.713
12,0.43949473814964296,0.885833993434906,0.8491,0.705
13,0.3373381925106049,0.9306247353553772,0.8864,0.706
14,0.3799984462738037,0.9115977849960327,0.867,0.7065
15,0.3461549550533295,0.8689319896697998,0.8805,0.719
16,0.19496503477096558,0.782973946094513,0.938,0.7495
17,0.15245364433825015,0.751771674156189,0.9539,0.7725
18,0.09163088464736939,0.8673899254798889,0.9746,0.75
19,0.07561345646828413,0.9121431975364686,0.9796,0.75
20,0.05624336695671082,0.9446574106216431,0.9862,0.75
21,0.10558578481674194,1.0760358533859253,0.9654,0.7325
22,0.07340545353889465,0.9068847827911377,0.9759,0.764
23,0.03695078020095825,0.9456607780456543,0.9919,0.7525
24,0.058249548012018204,0.9176110181808471,0.9858,0.7635
25,0.0221755447268486,0.9248254995346069,0.9964,0.768
26,0.01556990246772766,0.9263825201988221,0.9977,0.7665
27,0.012344237057119609,0.9318050708770752,0.9991,0.768
28,0.009767823785543441,0.9535724382400512,0.9991,0.768
29,0.00892126817703247,0.9691922149658203,0.9994,0.7685
30,0.009185396333038807,0.970036720275879,0.9996,0.766
