epoch,train_loss,validation_loss,learning_rate
0,3.0178034782409666,2.4362034797668457,0.01
1,2.3325528144836425,2.222466826438904,0.01
2,2.1640411376953126,2.106212019920349,0.01
3,2.055942726135254,2.0242308378219604,0.01
4,1.948484516143799,1.9460257291793823,0.01
5,1.8672423362731934,1.8831244111061096,0.01
6,1.785890030860901,1.8188153505325317,0.01
7,1.6985683202743531,1.7504830956459045,0.01
8,1.6242855310440063,1.6934453248977661,0.01
9,1.5510368824005127,1.6478565335273743,0.01
10,1.4824651956558228,1.5983297228813171,0.01
11,1.4245141983032226,1.5626062750816345,0.01
12,1.369380569458008,1.5279019474983215,0.01
13,1.3140430212020875,1.499919831752777,0.01
14,1.2605380296707154,1.4788538813591003,0.01
15,1.2147202014923095,1.4653710722923279,0.01
16,1.1760266542434692,1.4349522590637207,0.01
17,1.129123616218567,1.4227129817008972,0.01
18,1.0838152170181274,1.4174936413764954,0.01
19,1.0461941480636596,1.4130569696426392,0.01
20,1.0131600975990296,1.3890920281410217,0.01
21,0.9771082401275635,1.3931075930595398,0.01
22,0.9446514010429382,1.3773117065429688,0.01
23,0.9179026246070862,1.3907358050346375,0.01
24,0.8829093217849732,1.3886494636535645,0.01
25,0.8538870573043823,1.397899568080902,0.01
26,0.8250121593475341,1.3941705226898193,0.01
27,0.808126962184906,1.3977687358856201,0.01
28,0.776778268814087,1.3877645134925842,0.01
29,0.7505615592002869,1.3849019408226013,0.01
30,0.7189980626106263,1.4109947085380554,0.01
31,0.6999921441078186,1.40641850233078,0.01
32,0.6829212427139282,1.424547016620636,0.01
33,0.6598477840423584,1.4419622421264648,0.005
34,0.6258215069770813,1.4328129291534424,0.005
35,0.5996957063674927,1.4235700368881226,0.005
36,0.5806363105773926,1.4260144233703613,0.005
37,0.5601574182510376,1.4316561818122864,0.005
38,0.5444051265716553,1.4407289028167725,0.005
39,0.5325317740440368,1.4500830173492432,0.005
40,0.5171208620071411,1.4564753770828247,0.005
41,0.509855592250824,1.461502730846405,0.005
42,0.4941639959812164,1.4782512187957764,0.005
43,0.4847570300102234,1.488182008266449,0.005
44,0.4728382587432861,1.4987807273864746,0.0025
45,0.46009010076522827,1.4996172189712524,0.0025
46,0.445843380689621,1.5036835670471191,0.0025
47,0.43206681609153746,1.5080011487007141,0.0025
48,0.42739591002464294,1.50855952501297,0.0025
49,0.4203440070152283,1.50478857755661,0.0025
50,0.40923750400543213,1.5079131126403809,0.0025
51,0.4059605062007904,1.5123990774154663,0.0025
52,0.4031373500823975,1.5166283249855042,0.0025
53,0.39819336533546446,1.5212332010269165,0.0025
54,0.38789171576499937,1.5329533815383911,0.0025
55,0.38750160932540895,1.5437869429588318,0.00125
56,0.3793221652507782,1.5445821285247803,0.00125
57,0.37439586520195006,1.541340708732605,0.00125
