model,direction,seed,train_size,validation_size,checkpoint_type,best_metric_epoch,best_sampled_bleu4,best_sampled_similarity,epochs_run,best_loss_epoch,best_validation_loss,final_learning_rate,traditional_sequence_accuracy,validation_character_accuracy,validation_sequence_similarity,validation_bleu4_char_level,validation_bleu4_word_level,training_time_sec,encoder_params,decoder_params,total_params,hardware
Reversed Baseline GRU,French to English,42,444,111,best sampled BLEU/similarity checkpoint,40,0.17108574848310304,0.3972318142061269,58,22,1.3773117065429688,0.00125,0.0,0.18131623703148916,0.3972318142061269,0.17108574848310304,0.06226876253066969,202.58863353729248,162400,170289,332689,cpu
Reversed Attention GRU,French to English,42,444,111,best sampled BLEU/similarity checkpoint,45,0.19400976208525125,0.44352796704232206,67,26,1.4748444557189941,0.00075,0.0,0.20832496468677061,0.44352796704232206,0.19400976208525125,0.07255525942333872,527.796172618866,368320,298609,666929,cpu
