epoch,train_loss,validation_loss,learning_rate
0,3.285868692398071,2.8644280433654785,0.003
1,2.7395355224609377,2.586658000946045,0.003
2,2.517440843582153,2.421788454055786,0.003
3,2.364780378341675,2.2889026403427124,0.003
4,2.261873149871826,2.199893832206726,0.003
5,2.171373987197876,2.1276196241378784,0.003
6,2.0901416778564452,2.060528039932251,0.003
7,2.0126641988754272,1.9976502060890198,0.003
8,1.9411049604415893,1.955597162246704,0.003
9,1.881826639175415,1.9040058851242065,0.003
10,1.8151331186294555,1.838128924369812,0.003
11,1.7459952592849732,1.798817217350006,0.003
12,1.6837843894958495,1.7580196261405945,0.003
13,1.621434998512268,1.7252394556999207,0.003
14,1.5566535949707032,1.6868778467178345,0.003
15,1.4987859725952148,1.6579228639602661,0.003
16,1.4365777015686034,1.631642758846283,0.003
17,1.3709156274795533,1.619578778743744,0.003
18,1.3205799102783202,1.5997324585914612,0.003
19,1.2597517490386962,1.5803236961364746,0.003
20,1.2046172142028808,1.5552049279212952,0.003
21,1.147343111038208,1.5406464338302612,0.003
22,1.0964288473129273,1.5196442604064941,0.003
23,1.0451307535171508,1.4971787333488464,0.003
24,0.9941958546638489,1.500781536102295,0.003
25,0.9368555545806885,1.4923537969589233,0.003
26,0.8928442358970642,1.4748444557189941,0.003
27,0.8486122608184814,1.4823764562606812,0.003
28,0.8014095544815063,1.4760777354240417,0.003
29,0.7668821692466736,1.4917950630187988,0.003
30,0.720548665523529,1.490328311920166,0.003
31,0.6818201422691346,1.492125391960144,0.003
32,0.648291552066803,1.5232718586921692,0.003
33,0.6146667838096619,1.5154075026512146,0.003
34,0.5784685730934143,1.533294141292572,0.003
35,0.5496922254562377,1.5287887454032898,0.003
36,0.5154939472675324,1.5203704833984375,0.003
37,0.4850719809532166,1.5422857999801636,0.003
38,0.46116923689842226,1.5497214794158936,0.003
39,0.4327757775783539,1.5499665141105652,0.003
40,0.4108293890953064,1.5774709582328796,0.003
41,0.38788827657699587,1.5994257926940918,0.003
42,0.3671708583831787,1.6220993995666504,0.003
43,0.3477337121963501,1.6209749579429626,0.0015
44,0.31534907817840574,1.6097666025161743,0.0015
45,0.294522762298584,1.6003690361976624,0.0015
46,0.27416560649871824,1.6151586771011353,0.0015
47,0.2591744601726532,1.618329107761383,0.0015
48,0.24844157695770264,1.626183032989502,0.0015
49,0.23573490381240844,1.6465159058570862,0.0015
50,0.2204594612121582,1.6576866507530212,0.0015
51,0.21190525591373444,1.6724145412445068,0.0015
52,0.20441994071006775,1.6761489510536194,0.0015
53,0.19396060407161714,1.6993041634559631,0.0015
54,0.1849946141242981,1.7040412425994873,0.0015
55,0.1779137909412384,1.7036499977111816,0.0015
56,0.1698911488056183,1.716537892818451,0.0015
57,0.16238943636417388,1.72032231092453,0.0015
58,0.1566447824239731,1.7339856624603271,0.0015
59,0.15235212147235871,1.743872880935669,0.0015
60,0.1454675853252411,1.763397991657257,0.00075
61,0.14222388863563537,1.7672732472419739,0.00075
62,0.1356642425060272,1.7688443064689636,0.00075
63,0.1325700879096985,1.7763609886169434,0.00075
64,0.130015729367733,1.7806963920593262,0.00075
65,0.12696460634469986,1.786341369152069,0.00075
66,0.1252670869231224,1.7961693406105042,0.00075
