epoch,sample_metric_score,sample_char_bleu4,sample_sequence_similarity
15,0.24730009388126623,0.15118587009453444,0.3844568951469271
20,0.2610853818745329,0.16062127244810465,0.4018564377057129
25,0.2512935693477651,0.15294077025219327,0.39341119638228733
30,0.2674712682193833,0.16572346079237832,0.4069912297080199
35,0.25958117388989366,0.16209425271070188,0.3899476847167671
40,0.27039370203463475,0.17108574848310304,0.3972318142061269
45,0.24868502976257167,0.15290777094961663,0.3831090352518201
50,0.25925502788974186,0.1619229644165867,0.3893282538926205
55,0.2603716640154229,0.16251438976218535,0.3914290970129502
