problem,model,direction,exact_accuracy,char_accuracy,sequence_similarity,char_bleu4,word_bleu4,best_validation_loss,training_time_sec,total_params
Problem 1,Baseline GRU,English to French,0.0,0.1617571299713938,,0.1881163977133249,0.0500880275917227,1.411488711833954,61.771479845047,332208
Problem 2,Attention GRU,English to French,0.009009009009009,0.2373266922667671,0.4899349073522333,0.2620041218238815,0.0899380595251403,1.4355072379112244,259.5491602420807,666929
Problem 3,Reversed Baseline GRU,French to English,0.0,0.18131623703148916,0.3972318142061269,0.17108574848310304,0.06226876253066969,1.3773117065429688,202.58863353729248,332689
Problem 3,Reversed Attention GRU,French to English,0.0,0.20832496468677061,0.44352796704232206,0.19400976208525125,0.07255525942333872,1.4748444557189941,527.796172618866,666929
