model,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,lr
Swin-Tiny pretrained cached-head,1,4.259073963165283,11.55,3.6283700408935546,31.5,0.2667865753173828,0.001
Swin-Tiny pretrained cached-head,2,2.9508723316192627,53.4,2.8355220756530763,47.8,0.04968404769897461,0.001
Swin-Tiny pretrained cached-head,3,2.1100417976379395,70.75,2.3679492530822754,54.2,0.050024986267089844,0.001
Swin-Tiny pretrained cached-head,4,1.613455430984497,78.85,2.12169580078125,57.1,0.05001425743103027,0.001
Swin-Tiny pretrained cached-head,5,1.3225818357467651,82.45,1.9902041015625,58.5,0.049890756607055664,0.001
Swin-Tiny pretrained cached-head,6,1.1377565116882324,86.55,1.9163122806549073,58.8,0.05011177062988281,0.001
Swin-Tiny pretrained cached-head,7,1.0077272109985351,90.3,1.8771711225509644,59.5,0.049559593200683594,0.001
Swin-Tiny pretrained cached-head,8,0.9117704477310181,92.85,1.8542744436264038,60.1,0.033870697021484375,0.001
Swin-Tiny pretrained cached-head,9,0.8355172157287598,95.4,1.839237603187561,60.2,0.04986572265625,0.001
Swin-Tiny pretrained cached-head,10,0.7772779650688172,97.0,1.8317711238861083,60.6,0.050156593322753906,0.001
Swin-Tiny pretrained cached-head,11,0.7299705591201783,97.95,1.829032163619995,60.7,0.04525041580200195,0.001
Swin-Tiny pretrained cached-head,12,0.6929659242630005,98.5,1.8278905439376831,61.3,0.0381312370300293,0.001
Swin-Tiny pretrained cached-head,13,0.6628855590820313,99.0,1.8281307182312012,61.2,0.04961585998535156,0.001
Swin-Tiny pretrained cached-head,14,0.6384619989395142,99.4,1.8287485942840576,60.8,0.034200191497802734,0.001
Swin-Tiny pretrained cached-head,15,0.6191291732788086,99.5,1.8297576637268067,60.7,0.04970574378967285,0.001
Swin-Tiny pretrained cached-head,16,0.6026167469024658,99.7,1.8312074489593506,60.9,0.05004596710205078,0.001
Swin-Tiny pretrained cached-head,17,0.5891781435012817,99.85,1.8334085750579834,61.0,0.05002093315124512,0.001
Swin-Tiny pretrained cached-head,18,0.5775771989822388,99.85,1.835215362548828,61.0,0.04988908767700195,0.001
Swin-Tiny pretrained cached-head,19,0.5680537815093994,99.85,1.8375604314804077,61.0,0.049086570739746094,0.001
Swin-Tiny pretrained cached-head,20,0.5593927001953125,99.9,1.8398896942138672,61.0,0.035041093826293945,0.001
Swin-Tiny pretrained cached-head,21,0.5522045750617981,99.95,1.8422152233123779,60.8,0.043442726135253906,0.001
Swin-Tiny pretrained cached-head,22,0.5461138477325439,99.95,1.8452226552963258,60.4,0.0420536994934082,0.001
Swin-Tiny pretrained cached-head,23,0.5402805957794189,100.0,1.8478580169677734,60.6,0.030684471130371094,0.0005
Swin-Tiny pretrained cached-head,24,0.5356459550857544,100.0,1.8489846496582032,60.7,0.03321433067321777,0.0005
Swin-Tiny pretrained cached-head,25,0.5334436931610107,100.0,1.850728536605835,60.6,0.05028724670410156,0.0005
Swin-Tiny pretrained cached-head,26,0.5312281374931336,100.0,1.8521656246185303,60.7,0.049840450286865234,0.0005
Swin-Tiny pretrained cached-head,27,0.529244863986969,100.0,1.85328333568573,60.6,0.0440828800201416,0.0005
Swin-Tiny pretrained cached-head,28,0.5272134823799133,100.0,1.8547280616760253,60.4,0.0393519401550293,0.0005
Swin-Tiny pretrained cached-head,29,0.5253228125572205,100.0,1.8559069232940675,60.2,0.03341031074523926,0.0005
Swin-Tiny pretrained cached-head,30,0.5235044994354248,100.0,1.857207799911499,60.1,0.04988551139831543,0.0005
Swin-Tiny pretrained cached-head,31,0.5217803745269776,100.0,1.8586672859191895,60.2,0.04887795448303223,0.0005
Swin-Tiny pretrained cached-head,32,0.5200321140289307,100.0,1.8602934989929198,59.8,0.03447866439819336,0.0005
Swin-Tiny pretrained cached-head,33,0.5184115762710572,100.0,1.8618750743865966,59.9,0.05001258850097656,0.0005
Swin-Tiny pretrained cached-head,34,0.5168771352767945,100.0,1.863054783821106,59.8,0.0501093864440918,0.00025
Swin-Tiny pretrained cached-head,35,0.5154304561614991,100.0,1.8638978958129884,59.8,0.04560732841491699,0.00025
Swin-Tiny pretrained cached-head,36,0.514679744720459,100.0,1.8645922336578369,59.8,0.044988155364990234,0.00025
Swin-Tiny pretrained cached-head,37,0.5139616775512695,100.0,1.8654761428833009,59.7,0.04243659973144531,0.00025
Swin-Tiny pretrained cached-head,38,0.5132257256507874,100.0,1.8663564624786377,59.6,0.03391766548156738,0.00025
Swin-Tiny pretrained cached-head,39,0.5125070734024048,100.0,1.8671130771636963,59.5,0.05006742477416992,0.00025
Swin-Tiny pretrained cached-head,40,0.511834321975708,100.0,1.8677908020019531,59.5,0.05010104179382324,0.00025
Swin-Tiny pretrained cached-head,41,0.5111279230117798,100.0,1.8686108121871947,59.5,0.033037662506103516,0.00025
Swin-Tiny pretrained cached-head,42,0.5104266014099121,100.0,1.869385621070862,59.4,0.050127267837524414,0.00025
Swin-Tiny pretrained cached-head,43,0.5097470870018005,100.0,1.870380129814148,59.3,0.04909229278564453,0.00025
Swin-Tiny pretrained cached-head,44,0.5090768332481385,100.0,1.8711812744140626,59.4,0.03421831130981445,0.00025
Swin-Tiny pretrained cached-head,45,0.5084135007858276,100.0,1.8719473905563355,59.4,0.0559382438659668,0.000125
Swin-Tiny pretrained cached-head,46,0.5077870864868164,100.0,1.8723694305419922,59.5,0.043066978454589844,0.000125
Swin-Tiny pretrained cached-head,47,0.5074539318084716,100.0,1.8726882514953613,59.6,0.034500837326049805,0.000125
Swin-Tiny pretrained cached-head,48,0.507125060081482,100.0,1.87309051322937,59.6,0.050050973892211914,0.000125
