model,exact_accuracy,char_accuracy,sequence_similarity,char_bleu4,word_bleu4,best_validation_loss,training_time_sec,total_params
Problem 1 Baseline GRU,0.0,0.1617571299713938,,0.1881163977133249,0.0500880275917227,1.411488711833954,61.771479845047,332208
Problem 2 Attention GRU,0.009009009009009009,0.2373266922667671,0.48993490735223333,0.2620041218238815,0.08993805952514032,1.4355072379112244,259.5491602420807,666929
