epoch,sample_metric_score,sample_char_bleu4,sample_sequence_similarity
15,0.24574683315201967,0.14659632372769607,0.39660203769729446
20,0.2528943710810169,0.15633120411322066,0.386252667871185
25,0.33744341830680663,0.22733816309637106,0.44042102084174223
30,0.33579730579397,0.22308384575046486,0.45085384017402047
35,0.37904981653080233,0.26013490395063404,0.4756596503206731
40,0.364794373577395,0.251203602180221,0.45436308558869615
45,0.37453987303235153,0.25733915430554305,0.46880287490723394
50,0.3870059384355849,0.2694281837528072,0.4703110187311108
55,0.3991423345337544,0.2743974740636529,0.49897944188040605
60,0.39053532058661045,0.26711860192969683,0.49366687462765446
