epoch,train_loss,val_loss,train_acc,val_acc
1,1.6505261407852172,1.5827121572494507,0.3792,0.42
2,1.2679452434539795,1.3383395175933839,0.5283,0.5125
3,1.0805597747802735,1.3409774723052978,0.6096,0.541
4,0.981821551322937,1.2125249471664428,0.6477,0.5685
5,0.9153342106819152,1.033264627456665,0.6751,0.6155
6,0.8089030548095704,1.0180098118782044,0.7112,0.629
7,0.7414477987289428,1.1225057048797606,0.74,0.614
8,0.7331803003787994,0.9632208094596862,0.7415,0.661
9,0.6412092959403992,0.9801761622428894,0.7708,0.656
10,0.6033986388206481,1.0745506839752197,0.7852,0.634
11,0.5871535033226013,1.0220810804367066,0.7969,0.671
12,0.5386853920936584,0.8483016877174377,0.8122,0.6985
13,0.5220838223457337,0.9215678176879882,0.8171,0.6995
14,0.4359905965805054,0.8938020091056824,0.8476,0.71
15,0.5242883947849274,0.9338214573860169,0.8172,0.6955
16,0.4058064465522766,1.0415224742889404,0.8584,0.687
17,0.3309151164531708,0.8321736998558045,0.888,0.731
18,0.2554479476928711,0.8718761000633239,0.9137,0.736
19,0.25069081358909606,0.9044511818885803,0.9169,0.726
20,0.19123871202468873,0.8469762296676636,0.9394,0.7425
21,0.14791735305786133,0.9366663384437561,0.9545,0.729
22,0.11096618772745133,0.8699852828979492,0.9701,0.7475
23,0.09520128823518753,0.9091784691810608,0.9756,0.745
24,0.07682729182243347,0.9260938596725464,0.9822,0.746
25,0.07275910744667054,0.9289596190452576,0.9837,0.746
26,0.05121426842212677,0.9224628691673279,0.9909,0.747
27,0.04409958078861237,0.9451544895172119,0.9933,0.753
28,0.04297193840742111,0.9676456136703491,0.9937,0.7445
29,0.035967611503601074,0.9686768555641174,0.9956,0.746
30,0.03330804248452186,0.9772779989242554,0.996,0.7505
