model_type,seq_length,hidden_size,epochs_planned,epochs_trained,learning_rate,dropout,weight_decay,clip_value,train_loss,val_loss,best_val_loss,best_val_acc,best_last_step_val_acc,best_val_top3_acc,best_val_top5_acc,best_val_top10_acc,best_epoch,final_val_acc,final_last_step_val_acc,final_val_top3_acc,final_val_top5_acc,final_val_top10_acc,training_time_sec,params,model_size_MB,rough_complexity
GRU,10,128,350,273,0.0025,0.35,0.001,1.0,1.0416576862335205,1.0654385089874268,1.0661734342575073,0.7721173763275146,0.9308176040649414,0.9113207459449768,0.948427677154541,0.9855346083641052,238,0.7704402804374695,0.9329140186309814,0.9119496941566467,0.949266254901886,0.9855346083641052,77.20038843154907,110637,0.4220466613769531,983040
LSTM,10,128,350,300,0.0025,0.35,0.001,1.0,1.0284032821655273,1.0772581100463867,1.0791746377944946,0.7691823840141296,0.9287211894989014,0.9111111164093018,0.947379469871521,0.9853249192237854,265,0.7683438062667847,0.9329140186309814,0.9102725386619568,0.947379469871521,0.9851152896881104,75.1856517791748,143661,0.5480232238769531,1310720
RNN,10,128,350,283,0.0025,0.35,0.001,1.0,1.1545562744140625,1.169113039970398,1.17850923538208,0.7419286966323853,0.9119496941566467,0.8993710875511169,0.9442347884178162,0.9825995564460754,248,0.7419286966323853,0.9119496941566467,0.9012578725814819,0.945492684841156,0.9832285046577454,53.5949022769928,44589,0.17009353637695312,327680
GRU,20,128,350,283,0.0025,0.35,0.001,1.0,0.7810745239257812,0.756811261177063,0.7586796283721924,0.8830526471138,0.9894737005233765,0.9545263051986694,0.9749473929405212,0.99273681640625,248,0.8822105526924133,0.9915789365768433,0.9547368288040161,0.9750526547431946,0.9931579232215881,185.64375758171082,110637,0.4220466613769531,1966080
LSTM,20,128,350,280,0.0025,0.35,0.001,1.0,0.8214580416679382,0.7879859209060669,0.8002068996429443,0.8778947591781616,0.9915789365768433,0.952210545539856,0.972631573677063,0.9932631850242615,245,0.8773684501647949,0.9915789365768433,0.9524210691452026,0.972315788269043,0.9928420782089233,143.05845069885254,143661,0.5480232238769531,2621440
RNN,20,128,350,339,0.0025,0.35,0.001,1.0,0.8872140645980835,0.8483641147613525,0.8507430553436279,0.8652631640434265,0.9852631688117981,0.9437894821166992,0.9702105522155762,0.9896842241287231,304,0.8643158078193665,0.9873684048652649,0.9446315765380859,0.9701052904129028,0.9895789623260498,95.71701121330261,44589,0.17009353637695312,655360
GRU,30,128,350,243,0.0025,0.35,0.001,1.0,0.7206193208694458,0.6654493808746338,0.6707520484924316,0.9210007190704346,0.9830867052078247,0.9682170748710632,0.982311487197876,0.9938689470291138,208,0.9207893013954163,0.985200822353363,0.9679351449012756,0.9821000695228577,0.9939393997192383,204.0598692893982,110637,0.4220466613769531,2949120
LSTM,30,128,350,325,0.0025,0.35,0.001,1.0,0.73811936378479,0.6851366758346558,0.6865692734718323,0.917195200920105,0.9830867052078247,0.9672304391860962,0.9812543988227844,0.9941508173942566,290,0.9171247482299805,0.9809725284576416,0.9671599864959717,0.9813248515129089,0.9940803647041321,237.99627804756165,143661,0.5480232238769531,3932160
RNN,30,128,350,339,0.0025,0.35,0.001,1.0,0.787670373916626,0.7366476058959961,0.7406677603721619,0.9042283296585083,0.985200822353363,0.9598308801651001,0.9794926047325134,0.9914023876190186,304,0.9031712412834167,0.9788583517074585,0.960606038570404,0.9797744750976562,0.9916842579841614,172.26191997528076,44589,0.17009353637695312,983040
