epoch,train_loss,val_loss,train_acc,val_acc
1,1.8722831691741944,1.758602520942688,0.3033,0.3745
2,1.526275848007202,1.6273197679519653,0.4372,0.4025
3,1.370111752796173,1.4806169776916505,0.4995,0.4685
4,1.2104725032806396,1.5089478187561036,0.5616,0.4955
5,1.1287475715637207,1.2829346199035645,0.5976,0.5425
6,1.0579384233474731,1.232413667678833,0.6221,0.5655
7,0.9859533597946167,1.2728058786392211,0.6548,0.553
8,0.9300520666122436,1.293206386566162,0.6744,0.5625
9,0.8565403382301331,1.4388595304489136,0.6992,0.52
10,0.7810589385986328,1.168778762817383,0.7291,0.602
11,0.726758381652832,1.4306592683792114,0.7533,0.5345
12,0.6618644941329956,1.3922517805099488,0.7748,0.565
13,0.6477968091964722,1.2604182844161986,0.78,0.596
14,0.6182457336425782,1.2455503444671632,0.7918,0.594
15,0.5667665196418762,1.3280413627624512,0.8104,0.585
16,0.4174354121208191,1.1690683965682984,0.8702,0.609
17,0.38742628540992735,1.1911581153869628,0.8759,0.625
18,0.3218668460845947,1.2625227785110473,0.9005,0.612
19,0.2912162774562836,1.2820590496063233,0.9112,0.612
20,0.23788424186706544,1.3106690711975097,0.9307,0.6185
21,0.19341198892593384,1.2761907176971437,0.9474,0.6285
22,0.18237637877464294,1.2986832523345948,0.9548,0.6215
23,0.13388944758176805,1.3294276237487792,0.9696,0.6245
24,0.11663352046012879,1.3566474046707153,0.9748,0.6205
25,0.10027273035049439,1.392587429046631,0.9793,0.621
26,0.08482616214752198,1.3940381364822387,0.9869,0.63
27,0.10801671521663665,1.400196904182434,0.9773,0.6295
28,0.07789223227500916,1.4030498857498168,0.9876,0.627
29,0.0728196408033371,1.4170970325469971,0.9898,0.6255
30,0.06749835367202758,1.4177105674743653,0.9908,0.631
31,0.06698514184951783,1.4519726848602295,0.9895,0.621
32,0.06178214154243469,1.4277892751693726,0.9931,0.631
33,0.05833421770334244,1.422558292388916,0.9922,0.632
34,0.053270846033096314,1.4304333019256592,0.9942,0.63
35,0.04959171051979065,1.4462237062454224,0.995,0.631
36,0.048517256700992585,1.4376682786941528,0.9955,0.632
37,0.04593014464378357,1.4514765214920045,0.9958,0.628
38,0.04375107468366623,1.4488494577407838,0.9967,0.6315
39,0.04327988569736481,1.4448249244689941,0.9966,0.6285
40,0.04350227646827698,1.4544960985183715,0.9963,0.6305
41,0.044487449675798416,1.4548062868118286,0.9962,0.631
42,0.04382320160865784,1.4483555612564087,0.9963,0.629
43,0.042207162189483644,1.445766248703003,0.9968,0.629
44,0.04221598334312439,1.458065526008606,0.9963,0.6285
45,0.04184415677189827,1.4549175624847412,0.9968,0.631
46,0.04082153925895691,1.4625510215759276,0.9976,0.625
47,0.03986993424892425,1.4759997968673706,0.9974,0.626
48,0.04103167757987976,1.4873018064498902,0.997,0.6245
49,0.040362165069580076,1.4771452951431274,0.9973,0.6285
50,0.04266653952598572,1.4628337440490722,0.9958,0.624
