config_name,num_layers,nhead,hidden_size,dropout,epochs_run,best_epoch,train_loss,validation_loss,best_validation_loss,best_decode_score,final_learning_rate,training_time_sec,params,model_size_MB,rough_complexity,eval_samples,traditional_sequence_accuracy,validation_character_accuracy,validation_sequence_similarity,validation_bleu4_char_level,validation_bleu4_word_level
blocks1_heads2,1,2,128,0.05,35,25,0.03521494865417481,4.311326384544373,3.9253482818603516,0.3637478446493563,0.001,61.90426158905029,1249915,4.768047332763672,1262592,111,0.0,0.26828741641106735,0.5408983449813407,0.36594879983024897,0.13000931910610142
blocks1_heads4,1,4,128,0.05,35,35,0.01780489943921566,4.349258899688721,3.8253750801086426,0.3403095897827206,0.001,37.582789182662964,1249915,4.768047332763672,1262592,111,0.0,0.25962537270882013,0.5377322822050553,0.35999311327637507,0.12231875896147139
blocks2_heads2,2,2,128,0.05,35,35,0.26947239637374876,4.9509618282318115,3.9650787115097046,0.25021290008799735,0.001,60.711230993270874,1712763,6.533672332763672,2525184,111,0.0,0.17979963739886198,0.4371666821883338,0.23859359408864292,0.07006546888570488
blocks2_heads4,2,4,128,0.05,35,35,0.3677042245864868,4.981409788131714,4.102834224700928,0.21519221439106678,0.001,57.3492226600647,1712763,6.533672332763672,2525184,111,0.0,0.1543033839203128,0.4215918868985039,0.2122274376735711,0.05078038126198319
blocks3_heads2,3,2,128,0.05,35,25,5.1415094375610355,6.015197277069092,5.881869077682495,0.11382561455976721,0.0005,143.4180920124054,2175611,8.299297332763672,3787776,111,0.0,0.04842413231020072,0.2905895897592133,0.02224930957144215,0.007880472992346156
blocks3_heads4,3,4,128,0.05,17,5,5.134644603729248,5.844256639480591,5.768026113510132,0.0851805164873452,0.002,53.90530443191528,2175611,8.299297332763672,3787776,111,0.0,0.04143074969954969,0.227023626193367,0.02397578088779472,0.013141980318739682
blocks4_heads2,4,2,128,0.05,13,1,5.476423931121826,6.18474006652832,5.887419939041138,0.0,0.002,23.437401056289673,2638459,10.064922332763672,5050368,111,0.0,0.0,0.0,0.0,0.0
blocks4_heads4,4,4,128,0.05,13,1,5.483704948425293,6.1982262134552,5.876996278762817,0.0,0.002,75.60748553276062,2638459,10.064922332763672,5050368,111,0.0,0.0,0.0,0.0,0.0
