model_type,seq_length,hidden_size,num_layers,nhead,dropout,epochs_planned,epochs_trained,learning_rate,weight_decay,train_loss,val_loss,best_val_loss,best_val_acc,best_last_step_val_acc,best_val_top3_acc,best_val_top5_acc,best_epoch,training_time_sec,params,model_size_MB,rough_complexity,hardware
Transformer,10,32,1,2,0.2,250,138,0.0025,0.001,0.6619712076187134,0.5878894925117493,0.5924631357192993,0.9126666666666666,0.26666666666666666,0.9459999799728394,0.9639999866485596,128,6.51163387298584,11469,0.043750762939453125,26880,cpu
Transformer,20,32,1,2,0.2,250,125,0.0025,0.001,0.5960383095741272,0.47314268350601196,0.4786984324455261,0.9466666666666667,0.24666666666666667,0.968999981880188,0.9769999980926514,115,9.322791337966919,11469,0.043750762939453125,66560,cpu
Transformer,30,32,1,2,0.2,250,152,0.0025,0.001,0.5864199132919311,0.4028280973434448,0.4048013687133789,0.966,0.17333333333333334,0.981333315372467,0.9857777953147888,142,17.229398488998413,11469,0.043750762939453125,119040,cpu
