name,hidden_size,num_layers,nhead,dropout,learning_rate,weight_decay,epochs,patience,seq_length,best_val_acc,best_last_step_val_acc,best_val_top3_acc,best_val_top5_acc,best_epoch,epochs_trained,train_loss,val_loss,best_val_loss,training_time_sec,params
clean_128_2_no_dropout,128,2,4,0.0,0.004,0.0,55,18,30,0.9819591261451727,0.46511627906976744,0.9883217513561249,0.9916858673095703,29,47,0.0002915228961698585,0.11507670849120642,0.108765502907257,86.31061816215515,408109
teacher_128_3_low_dropout,128,3,4,0.05,0.003,0.0,55,18,30,0.9828047921071177,0.492600422832981,0.9890312850475311,0.9923602938652039,19,37,0.0021469504079165854,0.09403046475719448,0.07785119541603717,252.59838771820068,606381
wide_160_2_low_dropout,160,2,4,0.05,0.003,0.0,55,18,30,0.9835095137420719,0.5052854122621564,0.9882332384586334,0.9919696748256683,45,55,0.0022391776230691347,0.10099725910397463,0.1011954059402988,238.17337322235107,633005
