epoch,train_loss,val_loss,train_acc,val_acc
1,1.697492773246765,1.796318995475769,0.3619,0.3445
2,1.2845495708465575,1.303471788406372,0.5184,0.5255
3,1.0696475686073303,1.4940069379806518,0.6138,0.5075
4,0.9473978079795837,1.3253549766540527,0.6593,0.5455
5,0.8499290647506714,1.110565839767456,0.7014,0.634
6,0.773059534740448,1.075641655445099,0.7272,0.62
7,0.6887579332351684,1.0898608016967772,0.7557,0.6185
8,0.6095644107818603,1.0938361129760743,0.7872,0.6585
9,0.5675706811904907,1.304301905632019,0.802,0.6145
10,0.5397759554862976,0.9744601459503174,0.8109,0.6755
11,0.45990114035606383,1.059797966003418,0.8432,0.669
12,0.4399699170589447,1.03963747215271,0.8478,0.67
13,0.37310771207809446,1.0731379318237304,0.867,0.6855
14,0.4105683808326721,0.8924494295120239,0.8556,0.716
15,0.3155970136642456,0.9116527605056762,0.8922,0.718
16,0.23859287281036376,1.4222456722259522,0.9226,0.654
17,0.24785868973731995,1.0533152694702148,0.9141,0.7035
18,0.280784956741333,1.4172459926605225,0.9024,0.6295
19,0.2302289014160633,0.8846945114135742,0.9201,0.7455
20,0.09785110077857971,0.8924218225479126,0.9724,0.7525
21,0.08216102666854859,0.9553297595977783,0.9752,0.7465
22,0.09252957196235656,0.9564570107460022,0.9705,0.744
23,0.05380599069595337,1.0168035554885864,0.9862,0.743
24,0.05531000367403031,0.9155272703170776,0.9847,0.762
25,0.024089239025115967,0.9386023397445679,0.9958,0.7615
26,0.015929006242752074,0.9598866662979126,0.9978,0.7685
27,0.013171435594558715,0.9707291717529297,0.9985,0.767
28,0.010394385569542646,0.9850034685134887,0.9986,0.7625
29,0.00735213043987751,0.9708427968025207,0.9997,0.7685
30,0.0070211778253316875,0.9871035432815551,0.9997,0.7695
