epoch,train_loss,val_loss,train_acc,val_acc
1,1.8768822889328003,1.6864850864410401,0.3054,0.369
2,1.5777976459503174,1.7023055620193481,0.4214,0.388
3,1.4164138174057006,1.5359375133514404,0.4855,0.4435
4,1.3021262367248536,1.5051108894348144,0.527,0.466
5,1.1898869178771974,1.3118060550689696,0.5741,0.519
6,1.0965374056816102,1.4485982542037963,0.6115,0.502
7,1.0200997835159302,1.2236258201599122,0.645,0.568
8,0.9714384506225586,1.239236785888672,0.658,0.564
9,0.8907390936851501,1.2959480266571044,0.6924,0.5345
10,0.8193433210372925,1.1831186246871948,0.7188,0.5905
11,0.7518412805557251,1.2951762218475342,0.7441,0.556
12,0.7707511076927185,1.2663924465179444,0.7376,0.592
13,0.6686993523597717,1.2343650283813477,0.7727,0.5925
14,0.6120572738170624,1.2411926374435425,0.7924,0.616
15,0.5431505762100219,1.1498793621063232,0.8209,0.6215
16,0.5150066408157349,1.5622010822296142,0.827,0.547
17,0.4926699291229248,1.420664379119873,0.8421,0.5885
18,0.5545300765991211,1.1404974870681763,0.8128,0.6305
19,0.4229280110359192,1.5120404415130615,0.859,0.5705
20,0.468712397813797,1.371093337059021,0.846,0.6045
21,0.38143292598724365,1.2745557823181153,0.8757,0.629
22,0.3960708891868591,1.3564922904968262,0.8674,0.6215
23,0.33088379611968993,1.2330508613586426,0.893,0.6495
24,0.2154713237285614,1.1885957708358765,0.9339,0.6605
25,0.16486730794906615,1.2432243156433105,0.9527,0.668
26,0.15541641783714294,1.187911039352417,0.9548,0.674
27,0.13652734990119933,1.2222293453216553,0.9635,0.678
28,0.1210063196182251,1.3115153408050537,0.9673,0.6595
29,0.13101952834129332,1.1850027742385865,0.9629,0.6775
30,0.08399818086624146,1.2327821006774902,0.981,0.682
31,0.08644242875576019,1.2436460065841675,0.9802,0.681
32,0.05845380878448486,1.2699563789367676,0.9891,0.6685
33,0.0720911241889,1.2793824977874755,0.9847,0.677
34,0.04559829998016358,1.26393137550354,0.9932,0.674
35,0.0388537543296814,1.2512033262252809,0.9953,0.678
36,0.04031585211753845,1.3043543882369995,0.9946,0.673
37,0.03619029015302658,1.288779718399048,0.9952,0.669
38,0.032235835695266724,1.2911247358322144,0.9955,0.678
39,0.028107454532384873,1.2900472373962402,0.9977,0.679
40,0.027868123745918273,1.3032159090042115,0.9968,0.6735
41,0.027797205996513367,1.325027205467224,0.9973,0.6705
42,0.02945472910404205,1.322963755607605,0.9965,0.667
43,0.02620992341041565,1.3198805303573609,0.9976,0.6715
44,0.027233034896850587,1.3201643028259278,0.9967,0.6765
45,0.02495614979341626,1.3162646074295044,0.9983,0.672
46,0.021704086685180663,1.3154498519897462,0.9983,0.6725
47,0.022949440598487855,1.3399290733337403,0.9989,0.675
48,0.02292746276706457,1.3150788440704346,0.9983,0.675
49,0.021829524612426758,1.3210403652191163,0.9985,0.672
50,0.021379117834568025,1.3149468431472777,0.999,0.676
