epoch,train_loss,val_loss,train_acc,val_acc
1,1.8685049644470215,2.0015657958984376,0.2831,0.303
2,1.5019080923080443,1.5127063608169555,0.4223,0.446
3,1.2932614700317382,1.523617624282837,0.5286,0.4565
4,1.1216152042388916,1.4700740385055542,0.5957,0.4815
5,1.0598260066986085,1.1272896614074708,0.6228,0.606
6,0.9660181538581848,1.298477979660034,0.6566,0.5825
7,0.8757691400527954,1.001429319858551,0.6943,0.655
8,0.8077726278305054,1.1450135374069215,0.7141,0.6225
9,0.7992374754905701,1.0485449166297913,0.7229,0.628
10,0.6824890462875366,1.096951766014099,0.7647,0.6335
11,0.6933582270622254,0.936663088798523,0.7629,0.6815
12,0.6182203807830811,1.2125491275787355,0.7914,0.6135
13,0.6393207262039184,0.8234598221778869,0.7799,0.726
14,0.5617514251232147,0.9171832523345947,0.8085,0.702
15,0.4820602346420288,1.0674846925735473,0.8347,0.68
16,0.4406665115356445,1.4571328258514404,0.8457,0.6275
17,0.4886932207107544,1.1961013469696045,0.8343,0.6455
18,0.3973565822601318,0.8690161271095276,0.8673,0.7275
19,0.2860105320930481,0.8882461166381836,0.903,0.733
20,0.24813568620681764,0.8559556260108948,0.9161,0.738
21,0.21188997244238852,0.9332068028450012,0.9292,0.748
22,0.17043656854629516,0.8678717932701111,0.9442,0.747
23,0.16670597643852234,0.94942356300354,0.9428,0.744
24,0.15436637823581695,0.8977049345970154,0.9492,0.75
25,0.1161920877456665,0.9501899390220642,0.9645,0.749
26,0.11191628626585007,0.9210715780258178,0.9649,0.761
27,0.08504885532855988,0.9657989039421081,0.9736,0.7585
28,0.08162299352884293,1.024015884399414,0.9749,0.7505
29,0.07115230485200882,1.0223793153762817,0.9778,0.751
30,0.06325149663686752,1.011791298866272,0.9809,0.7525
