epoch,train_loss,validation_loss,learning_rate
0,3.3553584098815916,2.7697330713272095,0.0035
1,2.6411414623260496,2.517140746116638,0.0035
2,2.446162796020508,2.369767427444458,0.0035
3,2.3209678649902346,2.2552549839019775,0.0035
4,2.2189719676971436,2.171473503112793,0.0035
5,2.1429574489593506,2.0976245403289795,0.0035
6,2.0770746231079102,2.03448486328125,0.0035
7,2.0078810930252073,1.9830905199050903,0.0035
8,1.956820797920227,1.942725419998169,0.0035
9,1.9070603132247925,1.9006634950637817,0.0035
10,1.8553949356079102,1.8572555184364319,0.0035
11,1.8173409938812255,1.8208000659942627,0.0035
12,1.7720136404037476,1.7834905982017517,0.0035
13,1.7314607143402099,1.75251042842865,0.0035
14,1.6875690460205077,1.7167279720306396,0.0035
15,1.6449570655822754,1.683254897594452,0.0035
16,1.6090802907943726,1.6526618003845215,0.0035
17,1.5729744195938111,1.6272250413894653,0.0035
18,1.540628981590271,1.5993022918701172,0.0035
19,1.5071060180664062,1.577924132347107,0.0035
20,1.4724283933639526,1.5610555410385132,0.0035
21,1.4483204364776612,1.5417083501815796,0.0035
22,1.4203726291656493,1.5220694541931152,0.0035
23,1.3886301040649414,1.5040431022644043,0.0035
24,1.3579183340072631,1.486698567867279,0.0035
25,1.3285741567611695,1.468107521533966,0.0035
26,1.3071724414825439,1.4552854299545288,0.0035
27,1.2812634468078614,1.4405330419540405,0.0035
28,1.256188726425171,1.4188084602355957,0.0035
29,1.2304351091384889,1.4089751839637756,0.0035
30,1.2026278734207154,1.401871144771576,0.0035
31,1.1817988395690917,1.3889497518539429,0.0035
32,1.1621946096420288,1.3805426955223083,0.0035
33,1.1381306648254395,1.3790008425712585,0.0035
34,1.1127059936523438,1.36697518825531,0.0035
35,1.0939268112182616,1.3631483912467957,0.0035
36,1.0747219324111938,1.3528117537498474,0.0035
37,1.0552372694015504,1.343038022518158,0.0035
38,1.0328693389892578,1.3380482196807861,0.0035
39,1.0149219751358032,1.3396157026290894,0.0035
40,0.9969923734664917,1.334652602672577,0.0035
41,0.9783053874969483,1.329852819442749,0.0035
42,0.9648009300231933,1.3233731389045715,0.0035
43,0.9434497833251954,1.3177491426467896,0.0035
44,0.9265353322029114,1.314465045928955,0.0035
45,0.9140091300010681,1.3097302317619324,0.0035
46,0.897585642337799,1.3084209561347961,0.0035
47,0.8818848967552185,1.3153384327888489,0.0035
48,0.8621171712875366,1.304810345172882,0.0035
49,0.8457960486412048,1.3058010339736938,0.0035
50,0.8281485915184021,1.3053337931632996,0.0035
51,0.8171502113342285,1.307409644126892,0.0035
52,0.804599928855896,1.3012900352478027,0.0035
53,0.7905973553657532,1.3081933856010437,0.0035
54,0.772811496257782,1.30820631980896,0.0035
55,0.7628547668457031,1.310769259929657,0.0035
56,0.7487470626831054,1.307763934135437,0.0035
57,0.7364773988723755,1.309596300125122,0.0035
58,0.7254909992218017,1.319567322731018,0.00175
59,0.7058961868286133,1.3063741326332092,0.00175
60,0.6928782224655151,1.3030481934547424,0.00175
61,0.6862708806991578,1.3121502995491028,0.00175
62,0.6741618275642395,1.3101375102996826,0.00175
63,0.6662713050842285,1.3175563216209412,0.00175
64,0.6579712271690369,1.3154062628746033,0.000875
65,0.648497486114502,1.3147308826446533,0.000875
66,0.6415644884109497,1.3156740069389343,0.000875
67,0.6395713210105896,1.3153477907180786,0.000875
68,0.637819254398346,1.3162978887557983,0.000875
69,0.6316909074783326,1.3179583549499512,0.000875
70,0.6285864114761353,1.3193193674087524,0.0004375
71,0.6255241632461548,1.3187260031700134,0.0004375
72,0.6188981771469116,1.3175439834594727,0.0004375
73,0.6199206709861755,1.3173041939735413,0.0004375
74,0.61613689661026,1.316433310508728,0.0004375
75,0.6146859765052796,1.3173198699951172,0.0004375
76,0.6163777589797974,1.3184688091278076,0.00021875
77,0.6096541881561279,1.3191227316856384,0.00021875
78,0.6126686215400696,1.3196755647659302,0.00021875
79,0.6087099552154541,1.3202815651893616,0.00021875
80,0.6088455319404602,1.321057379245758,0.00021875
81,0.6063029408454895,1.321430742740631,0.00021875
82,0.606443452835083,1.321397602558136,0.000109375
83,0.6080207109451294,1.3212104439735413,0.000109375
84,0.6024789333343505,1.321252465248108,0.000109375
85,0.6057725071907043,1.321365475654602,0.000109375
86,0.603909683227539,1.3215892910957336,0.000109375
87,0.6017783641815185,1.3217016458511353,0.000109375
88,0.5972174048423767,1.322111427783966,5.46875e-05
89,0.6046662092208862,1.3222164511680603,5.46875e-05
90,0.6055400013923645,1.3221469521522522,5.46875e-05
91,0.6010866165161133,1.322081208229065,5.46875e-05
92,0.5994516015052795,1.3220134973526,5.46875e-05
93,0.5997059226036072,1.321855068206787,5.46875e-05
94,0.5978447675704956,1.321763813495636,5e-05
95,0.5972402691841125,1.3217724561691284,5e-05
96,0.5987707853317261,1.321799397468567,5e-05
97,0.5991065740585327,1.321922481060028,5e-05
98,0.599771785736084,1.3220549821853638,5e-05
99,0.5974814772605896,1.3222193121910095,5e-05
100,0.5991345167160034,1.3223797082901,5e-05
101,0.5993738412857056,1.3225494623184204,5e-05
102,0.5953736066818237,1.3227959871292114,5e-05
103,0.5989946007728577,1.322968304157257,5e-05
104,0.5965803146362305,1.3229231238365173,5e-05
105,0.5989714980125427,1.3228782415390015,5e-05
106,0.5950811624526977,1.3227501511573792,5e-05
107,0.5963325142860413,1.322752833366394,5e-05
108,0.5952280521392822,1.3228853344917297,5e-05
109,0.5955188632011413,1.3229858875274658,5e-05
110,0.597546112537384,1.3230109810829163,5e-05
111,0.59186350107193,1.3230313062667847,5e-05
112,0.590618908405304,1.3231717944145203,5e-05
113,0.5908205509185791,1.3232488632202148,5e-05
114,0.5962975025177002,1.3234538435935974,5e-05
115,0.5939442753791809,1.323646366596222,5e-05
116,0.594694983959198,1.32378488779068,5e-05
117,0.5977490782737732,1.3240405321121216,5e-05
118,0.5935405492782593,1.324293613433838,5e-05
119,0.5954273700714111,1.324442207813263,5e-05
120,0.5960338711738586,1.324640691280365,5e-05
121,0.595164167881012,1.3248720169067383,5e-05
122,0.5932718634605407,1.3248780369758606,5e-05
123,0.5889500975608826,1.3248446583747864,5e-05
124,0.5927821636199951,1.3247511982917786,5e-05
125,0.5923270940780639,1.3247156739234924,5e-05
126,0.5939029335975647,1.3248172998428345,5e-05
127,0.5926611185073852,1.3248399496078491,5e-05
128,0.5952026605606079,1.324765920639038,5e-05
129,0.594386887550354,1.3248279094696045,5e-05
130,0.5897961974143981,1.324956238269806,5e-05
131,0.592227578163147,1.3250887393951416,5e-05
132,0.5906466603279114,1.3250024318695068,5e-05
133,0.5930533409118652,1.3250266909599304,5e-05
134,0.5899137020111084,1.3252174258232117,5e-05
135,0.5914313197135925,1.3253873586654663,5e-05
136,0.5908055663108825,1.3254133462905884,5e-05
137,0.5877262592315674,1.325470745563507,5e-05
138,0.5887740969657898,1.3255035281181335,5e-05
139,0.5887584209442138,1.3255515694618225,5e-05
140,0.5905642986297608,1.3256816864013672,5e-05
141,0.5872503876686096,1.325662910938263,5e-05
142,0.5942335009574891,1.3256946206092834,5e-05
143,0.5863044619560241,1.32594233751297,5e-05
144,0.5881320238113403,1.3260436058044434,5e-05
145,0.5901517987251281,1.326287865638733,5e-05
146,0.5885347962379456,1.3266379833221436,5e-05
147,0.589338481426239,1.3270143866539001,5e-05
148,0.5864059329032898,1.3272497057914734,5e-05
149,0.5901932120323181,1.3274230360984802,5e-05
150,0.5867899060249329,1.3274837136268616,5e-05
151,0.589194917678833,1.327487051486969,5e-05
152,0.5840774416923523,1.327438771724701,5e-05
153,0.5868497252464294,1.3273661732673645,5e-05
154,0.5895125508308411,1.327357292175293,5e-05
155,0.5871290802955628,1.3272079825401306,5e-05
156,0.5893214344978333,1.3272146582603455,5e-05
157,0.5869667649269104,1.327371597290039,5e-05
158,0.5841741561889648,1.3275386691093445,5e-05
159,0.5895672678947449,1.3278253078460693,5e-05
160,0.5890194773674011,1.3279510140419006,5e-05
161,0.5828859210014343,1.3278512358665466,5e-05
162,0.5854782581329345,1.3277994394302368,5e-05
163,0.5877201199531555,1.327827274799347,5e-05
164,0.5823203563690186,1.3278779983520508,5e-05
165,0.5876517057418823,1.3280255794525146,5e-05
166,0.5847592353820801,1.3279650807380676,5e-05
167,0.5825082421302795,1.3280143737792969,5e-05
168,0.5788933038711548,1.3280421495437622,5e-05
169,0.5855499744415283,1.3282074332237244,5e-05
170,0.5866656303405762,1.3283915519714355,5e-05
171,0.580369746685028,1.3287727236747742,5e-05
172,0.5837698698043823,1.3289872407913208,5e-05
173,0.5822296380996704,1.3292104005813599,5e-05
174,0.5898754596710205,1.3294593691825867,5e-05
175,0.5822588562965393,1.3295060992240906,5e-05
176,0.5817110657691955,1.329513669013977,5e-05
177,0.5822366833686828,1.329671859741211,5e-05
178,0.5823195576667786,1.3296469449996948,5e-05
179,0.5823143005371094,1.3296713829040527,5e-05
180,0.5846952080726624,1.3297749757766724,5e-05
181,0.5795776963233947,1.3296971321105957,5e-05
182,0.5800091028213501,1.3297258019447327,5e-05
183,0.5788332700729371,1.329825520515442,5e-05
184,0.5790648818016052,1.329836905002594,5e-05
185,0.5776599287986756,1.3297473788261414,5e-05
186,0.5816160559654235,1.3294521570205688,5e-05
187,0.5820687174797058,1.329318344593048,5e-05
188,0.5767157316207886,1.329214870929718,5e-05
189,0.5776333093643189,1.3292143940925598,5e-05
190,0.576111912727356,1.3293889164924622,5e-05
191,0.583386754989624,1.3296269178390503,5e-05
192,0.5796661496162414,1.329823911190033,5e-05
