epoch,train_loss,val_loss,train_acc,val_acc
1,1.6513302953720093,1.6041771183013915,0.3784,0.424
2,1.2700877128601074,1.267314977645874,0.5265,0.528
3,1.0847200344085692,1.3215540971755981,0.609,0.551
4,0.9915722846984864,1.2944474153518677,0.6426,0.548
5,0.9259658514022827,1.0775780334472655,0.6676,0.61
6,0.8199198568344116,0.9983829350471497,0.7097,0.635
7,0.7569877040863037,1.208829821586609,0.7317,0.5905
8,0.7300611401557923,0.9577651071548462,0.7428,0.6655
9,0.6345630645751953,0.8839280490875244,0.7746,0.6985
10,0.6082821704864502,1.0817097902297974,0.7835,0.632
11,0.5874310914993286,0.9388868403434754,0.7943,0.6835
12,0.5266988586425781,0.9384992418289184,0.8133,0.6925
13,0.5301997869491577,1.0071166634559632,0.8132,0.689
14,0.3894347257614136,0.8278242883682251,0.8688,0.732
15,0.34090779994726184,0.8192029728889465,0.884,0.7355
16,0.27433713779449465,0.9368314900398255,0.9088,0.7165
17,0.3001508278608322,0.9102260365486144,0.8944,0.7125
18,0.22895059967041015,0.9244340291023254,0.9233,0.7275
19,0.25426309030056,0.9252667174339294,0.9123,0.722
20,0.16867365528345107,0.8400056772232055,0.9477,0.748
21,0.11991383295059205,0.8756386160850524,0.9681,0.739
22,0.10994911320209504,0.9310453743934631,0.9703,0.745
23,0.09732959933280945,0.9304619312286377,0.9744,0.7435
24,0.07594918622970581,0.9189125723838806,0.9821,0.7495
25,0.06758973776102066,0.9180877451896667,0.9861,0.741
26,0.056111535096168515,0.9278384494781494,0.9904,0.754
27,0.04943372316360474,0.9455858998298645,0.9927,0.7515
28,0.042743567657470706,0.9540393648147583,0.9948,0.756
29,0.03987319359779358,0.9625284285545349,0.9948,0.7495
30,0.040097094683349134,0.9795608763694763,0.9952,0.752
