model,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec,lr
ViT_fast_p8_e128_l2_h4,1,4.461864638010661,3.95,4.324926465988159,5.55,7.077902555465698,0.001
ViT_fast_p8_e128_l2_h4,2,4.257265937805176,6.466666666666667,4.183982336044312,7.8,7.374574184417725,0.001
ViT_fast_p8_e128_l2_h4,3,4.1512925287882485,8.1,4.1086693649292,10.15,7.59380316734314,0.001
ViT_fast_p8_e128_l2_h4,4,4.055453005472819,10.35,4.064385980606079,10.75,7.1959404945373535,0.001
ViT_fast_p8_e128_l2_h4,5,3.982939542134603,11.383333333333333,4.070194927215576,9.9,6.821536064147949,0.001
ViT_fast_p8_e128_l2_h4,6,3.9269669825236004,12.866666666666667,3.96545778465271,12.95,7.455218553543091,0.001
ViT_fast_p8_e128_l2_h4,7,3.862189540863037,14.6,3.95370880317688,13.65,7.7893147468566895,0.001
ViT_fast_p8_e128_l2_h4,8,3.8076818949381512,15.916666666666666,3.948239622116089,12.7,7.540637969970703,0.001
ViT_fast_p8_e128_l2_h4,9,3.7579774843851723,16.483333333333334,3.8826201782226564,15.75,6.666574001312256,0.001
ViT_fast_p8_e128_l2_h4,10,3.7163429641723633,17.35,3.9004017372131345,14.35,6.737648010253906,0.001
ViT_fast_p8_e128_l2_h4,11,3.6488544998168946,19.25,3.8531810035705565,15.55,7.767332315444946,0.001
ViT_fast_p8_e128_l2_h4,12,3.59220513343811,20.066666666666666,3.827822561264038,16.45,6.6318583488464355,0.001
ViT_fast_p8_e128_l2_h4,13,3.553558795928955,22.133333333333333,3.8188264236450196,17.6,7.467786550521851,0.001
ViT_fast_p8_e128_l2_h4,14,3.5017025616963706,22.983333333333334,3.829511350631714,16.05,7.376645803451538,0.001
ViT_fast_p8_e128_l2_h4,15,3.4486631724039714,24.116666666666667,3.8369149837493897,17.75,7.015848636627197,0.001
ViT_fast_p8_e128_l2_h4,16,3.396409341812134,25.8,3.81770881652832,17.5,7.4597718715667725,0.001
ViT_fast_p8_e128_l2_h4,17,3.3396897843678794,26.833333333333332,3.8044970245361327,17.9,7.053747653961182,0.001
ViT_fast_p8_e128_l2_h4,18,3.2943949184417725,28.333333333333332,3.814953472137451,17.85,7.422688722610474,0.001
ViT_fast_p8_e128_l2_h4,19,3.2537027842203776,29.05,3.8388608303070066,18.1,7.425994157791138,0.001
ViT_fast_p8_e128_l2_h4,20,3.1988194249471027,30.95,3.8376892318725586,18.4,7.734626054763794,0.001
ViT_fast_p8_e128_l2_h4,21,3.150615966796875,32.666666666666664,3.8639353828430174,19.35,7.454715251922607,0.001
ViT_fast_p8_e128_l2_h4,22,3.104511365890503,34.06666666666667,3.8670852909088134,19.5,7.694489240646362,0.001
ViT_fast_p8_e128_l2_h4,23,3.0674176133473714,34.46666666666667,3.8735063228607176,19.55,8.000062942504883,0.0005
ViT_fast_p8_e128_l2_h4,24,2.8903975518544516,40.78333333333333,3.8530924911499023,20.4,7.426346302032471,0.0005
ViT_fast_p8_e128_l2_h4,25,2.8341000773111977,43.11666666666667,3.8685119743347167,21.0,7.433022975921631,0.0005
