config_name,num_layers,nhead,hidden_size,dropout,epochs_run,best_epoch,train_loss,validation_loss,best_validation_loss,best_decode_score,final_learning_rate,training_time_sec,params,model_size_MB,rough_complexity,eval_samples,traditional_sequence_accuracy,validation_character_accuracy,validation_sequence_similarity,validation_bleu4_char_level,validation_bleu4_word_level
blocks1_heads2,1,2,128,0.05,32,20,0.038643378764390945,4.7659218311309814,4.259191989898682,0.321933432911242,0.001,51.86466097831726,1249915,4.768047332763672,1262592,111,0.0,0.2520408696762821,0.5287542223742131,0.3411207492219001,0.1245891118522579
blocks1_heads4,1,4,128,0.05,35,25,0.021758473291993142,4.739473581314087,4.196595907211304,0.3500942219165267,0.001,34.29434871673584,1249915,4.768047332763672,1262592,111,0.0,0.28677866338937963,0.5519798379476558,0.3618826885886903,0.14709667935826087
blocks2_heads2,2,2,128,0.05,35,25,0.5404773950576782,5.557417154312134,4.700947046279907,0.1915914465145486,0.001,56.63932251930237,1712763,6.533672332763672,2525184,111,0.0,0.15140844846633275,0.37480508745136276,0.16385536399533082,0.05052489295106315
blocks2_heads4,2,4,128,0.05,35,35,0.3364354193210602,5.25600004196167,4.501670837402344,0.2269804435491144,0.001,55.58287501335144,1712763,6.533672332763672,2525184,111,0.0,0.18674921219255441,0.45154521219308297,0.24350097482550245,0.07294935871171673
blocks3_heads2,3,2,128,0.05,17,5,5.548346138000488,6.30648946762085,5.779074668884277,0.050184591663931986,0.004,33.33174395561218,2175611,8.299297332763672,3787776,111,0.0,0.04612119278928402,0.14433566292532735,0.0003406378747888609,0.0010434632013713678
blocks3_heads4,3,4,128,0.05,17,5,4.8929801940917965,5.833723545074463,5.719712257385254,0.050184591663931986,0.002,73.39334797859192,2175611,8.299297332763672,3787776,111,0.0,0.04612119278928402,0.14433566292532735,0.0003406378747888609,0.0010434632013713678
blocks4_heads2,4,2,128,0.05,13,1,5.366326904296875,6.195737361907959,5.84259033203125,0.0,0.002,44.24736022949219,2638459,10.064922332763672,5050368,111,0.0,0.0,0.0,0.0,0.0
blocks4_heads4,4,4,128,0.05,13,1,5.365339088439941,6.18731951713562,5.84394383430481,0.0,0.002,48.96765685081482,2638459,10.064922332763672,5050368,111,0.0,0.0,0.0,0.0,0.0
